java.util.AbstractList<E> , java.util.AbstractCollection<E>
java.util.AbstractQueue<E> , java.util.AbstractCollection<E>
java.util.AbstractSet<E> , java.util.AbstractCollection<E>
java.util.ArrayDeque<E> , java.util.AbstractCollection<E>
java.util.concurrent.ConcurrentLinkedDeque<E> , java.util.AbstractCollection<E>
java.util.concurrent.ConcurrentSkipListSet<E> , java.util.AbstractSet<E>
java.util.concurrent.CopyOnWriteArraySet<E> , java.util.AbstractSet<E>
java.util.EnumSet<E extends Enum<E>> , java.util.AbstractSet<E>
java.util.HashSet<E> , java.util.AbstractSet<E>
java.util.TreeSet<E> , java.util.AbstractSet<E>
java.util.AbstractSequentialList<E> , java.util.AbstractList<E>
java.util.ArrayList<E> , java.util.AbstractList<E>
java.util.Vector<E> , java.util.AbstractList<E>
java.util.concurrent.ArrayBlockingQueue<E> , java.util.AbstractQueue<E>
java.util.concurrent.ConcurrentLinkedQueue<E> , java.util.AbstractQueue<E>
java.util.concurrent.DelayQueue<E extends Delayed> , java.util.AbstractQueue<E>
java.util.concurrent.LinkedBlockingDeque<E> , java.util.AbstractQueue<E>
java.util.concurrent.LinkedBlockingQueue<E> , java.util.AbstractQueue<E>
java.util.concurrent.LinkedTransferQueue<E> , java.util.AbstractQueue<E>
java.util.concurrent.PriorityBlockingQueue<E> , java.util.AbstractQueue<E>
java.util.PriorityQueue<E> , java.util.AbstractQueue<E>
java.util.concurrent.SynchronousQueue<E> , java.util.AbstractQueue<E>
java.util.Stack<E> , java.util.Vector<E>
javax.print.attribute.standard.JobStateReasons , java.util.HashSet<E>
java.util.LinkedHashSet<E> , java.util.HashSet<E>
java.util.LinkedList<E> , java.util.AbstractSequentialList<E>
javax.management.AttributeList , java.util.ArrayList<E>
javax.management.relation.RoleList , java.util.ArrayList<E>
javax.management.relation.RoleUnresolvedList , java.util.ArrayList<E>
